lat,lon,renda
41.3525378,2.1413415,9917
41.3606199,2.1387318,11963.411764705883
41.3676592,2.1364314,14160.846153846154
41.3693898,2.1444107,14766.857142857143
41.3724303,2.1628778,11736.708333333334
41.3752223,2.1451349,14053.9
41.3753542,2.1266126,13660.0625
41.3754373,2.1353154,15287.310344827587
41.3772662,2.1585314,15976.041666666666
41.3793155,2.1134953,18356.133333333335
41.3797157,2.1681839,9189.904761904761
41.3808941,2.1893853,11495.90909090909
41.3819055,2.178185,12168.777777777777
41.3834895,2.1167971,20324.742857142857
41.38477109999999,2.1528291,18003.125
41.3868205,2.1830997,12691.615384615385
41.3882117,2.1595402,19263.615384615383
41.3912714,2.1111608,26668.14285714286
41.3915949,2.1953889,21876.6
41.3977987,2.1315217,28231
41.3981098,2.181871000000001,16307.95
41.3988942,2.1431958,25643.774193548386
41.3990625,2.1904564,15565
41.3991535,2.1699272,21018.137931034482
41.4014963,2.1580044,16317.833333333334
41.4034307,2.202795,15309.45
41.403619,2.1166397,24301.75
41.4036299,2.1743558,15998.617647058823
41.4046685,2.1659005,17568.76
41.4075841,2.1437968,20607.105263157893
41.4082631,2.2166246,16822.85714285714
41.409331,2.185499,14408.461538461539
41.4097037,2.1892366,14468
41.410005,2.2029921,13786.583333333334
41.4118532,2.1830997,14873.92
41.412131,2.1683571,15251.105263157895
41.4124069,2.1536193,17810.1
41.41456890000001,2.1339402,25043.88888888889
41.4151679,2.1383282,18438.727272727272
41.4165785,2.1978471,13457.333333333334
41.4167886,2.2141451,9895.76923076923
41.4172284,2.163444,14235.57142857143
41.4173114,2.0910377000000002,19017.333333333332
41.4175036,2.1487078,14278.4
41.4189505,2.1722718,14873.64
41.4222289,2.2048926,12276.619047619048
41.422371,2.1560753,10957.40909090909
41.4225997,2.1437968,12168.125
41.4244117,2.1806423,14035
41.42461,2.1852454,14238.45
41.4246893,2.1659005,17541.14285714286
41.4282799,2.1329872,13115.4
41.4289178,2.173885,13781.157894736842
41.4293091,2.1530054,13146
41.43001460000001,2.1487078,16133.75
41.4321029,2.1708139,10479.1
41.4336754,2.1857902,15048.384615384615
41.4338942,2.1420889,14129.25
41.4343785,2.1662075,9480
41.4344658,2.178185,12408.611111111111
41.4349017,2.1564426,14637.761904761905
41.4365208,2.199783,11168.142857142857
41.4400621,2.1657081,13803
41.4418775,2.1830997,11348.05
41.4426536,2.1751135,10191.875
41.4440989,2.1978471,8670.5
41.4447489,2.163444,13053.4
41.4468761,2.1712952,9549.3
41.4516956,2.1929308,9023.4
41.4518355,2.1855573,8895.8
41.4540649,2.1734741,8093
41.4620238,2.1757278,7780.666666666667
41.4661323,2.1811328,8556
